Make,Model,Type,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02
Audi,Q5 Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,33,90,122,90,76,84,86,105,83,47,73,73,56,38,43,36,24,35,21,25,19,22,31,19,24,16,11,8,10,9,7,17,5,8,5,3,5,7,13,3,0,5,2,2,2,1,2,1,0,0,0,0,0
Toyota,Avalon,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,1040,1361,1616,1423,1514,1394,1139,1467,1104,1398,1532,1480,970,613,1600,1522,1957,1437,1767,2049,1437,1330,1212,1154,912,864,902,906,1114,973,1175,1322,1064,993,798,933,583,590,776,715,660,619,707,775,688,673,639,1026,448,464
Volkswagen,Jetta,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,232,272,451,353,473,438,417,712,887,666,394,360,224,232,276,149,209,206,156,151,114,97,68,57,50,36,45,41,55,66,91,98,77,64,52,65,46,39,47,46,47,44,87,128,76,48,45,56,13,12
Mercedes-Benz,E400H,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,25,17,29,23,26,29,27,22,20,20,23,15,9,39,16,13,5,7,12,5,5,9,30,3,13,0,2,0,2,2,0,1,0,0,1,0,1,0,1,4,2,1,2,0,2,0,1,0
Infiniti,Q50,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,51,118,91,59,328,380,263,294,242,246,266,274,296,422,386,297,365,390,299,342,347,381,384,356,381,189,281,175,202,335,147,95,94,112,150,174,148,134,232,128,138
Chevrolet,Impala Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,35,34,38,49,34,58,63,43,63,35,32,23,93,19,19,29,49,53,24,23,27,5,11,1,12,12,4,4,3,2,10,0,0,0,0,0,0,0,0
Infiniti,QX60,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,374,238,135,167,114,137,108,112,130,109,114,146,168,129,179,195,170,188,180,226,240,231,220,149,249,119,137,195,66,85,88,74,65,63,59,64,99,44,53
Nissan,Pathfinder Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,334,265,191,237,183,238,191,221,237,160,166,187,204,184,212,258,167,223,215,234,212,186,168,102,84,65,72,87,56,60,57,55,58,80,64,68,94,73,90
Subaru,XV,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,546,725,711,1003,788,746,747,571,617,575,427,512,549,587,552,557,493,559,455,370,211,319,425,261,278,329,303,303,214,193,117,79,44,27,25,13,6
Acura,RLX,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,36,37,29,14,21,18,15,24,27,28,34,26,14,13,16,0,12,19,19,18,0,11,19,24,13,33,31,11,27
Lexus,NX Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,163,164,225,210,250,203,234,206,170,188,196,364,245,236,251,222,229,183,228,224,233,188,241,362,179,184
Toyota,RAV4,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,1430,1973,2462,3073,3807,4185,3751,4692,4919,4127,3551,3757,4773,2898,3080
Acura,NSX,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21,22,38,67,51,68,50,46
Kia,Niro Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,2143
Hyundai,Ioniq Hybrid,HEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
Chevrolet,Volt,PHEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,321,281,608,493,481,561,125,302,723,1108,1139,1529,603,1023,2289,1462,1680,1760,1849,2831,2851,2961,1519,2633,1140,1626,1478,1306,1607,2698,1788,3351,1766,2022,1920,2392,918,1210,1478,1548,1684,1777,2020,2511,1394,1439,1336,1490,542,693,639,905,1618,1225,1313,1380,949,2035,1980,2114,996,1126,1865,1983,1901,1937,2406,2081,2031,2191,2531,3691,1611,1820
