Make,Model,Type,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02
Mitsubishi,I EV,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,36,44,56,79,85,33,33,37,36,30,42,77,257,337,31,127,91,39,46,30,20,28,12,11,1,3,24,12,35,22,17,20,15,17,18,12,3,2,10,16,18,23,12,6,3,9,4,9,2,5,1,6,2,4,20,25,17,4,5,3,0,1
BMW,Active E,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,115,326,30,11,79,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,Focus,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,89,38,34,59,118,172,167,81,158,180,147,157,177,150,175,110,115,130,158,100,129,177,116,177,197,198,264,176,186,191,53,85,145,140,124,165,152,135,176,145,126,93,96,66,81,110,81,54,54,58,75,82,73,66,101,56,228
Honda,Fit EV,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,16,16,26,19,8,15,23,22,15,208,63,66,35,40,23,51,30,33,37,50,33,38,42,55,29,23,5,32,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla,Model S,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,150,450,800,900,1350,1450,1950,2100,2000,1800,1550,1700,1100,1300,1400,1700,1300,1400,1300,1400,1400,1400,1400,1200,1300,1300,1450,1900,1300,1400,2000,1900,2300,2800,1800,1600,2400,2100,3100,3500,1300,1900,3000,1700,1500,2800,2400,3200,4100,1200,1800,5300,1200,1700
Toyota,RAV4 EV,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,47,32,52,25,52,133,70,84,44,109,231,167,0,62,28,63,101,73,69,149,91,68,228,125,97,83,37,7,2,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chevrolet,Spark,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,103,102,78,87,87,76,93,71,108,97,182,85,128,80,51,58,61,131,86,119,151,920,283,226,57,135,157,177,166,152,139,216,252,419,394,359,333,292,315,260,39,17,4,4
Fiat,500E,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,60,50,35,40,166,152,167,166,119,166,137,140,100,115,119,117,164,450,471,411,353,370,347,231,174,270,217,195,373,372,388,278,274,311,370,319,287,353,305,283
BMW,i3,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,358,363,1025,1022,1159,816,1013,670,1089,922,406,818,551,935,792,1710,986,723,1422,182,248,332,814,696,608,1479,1013,391,442,629,791,382,318
Mercedes-Benz,B-Class,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,51,65,98,193,326,240,109,145,158,278,242,196,172,147,81,41,97,58,37,66,56,49,44,50,57,51,58,52,54,53,56
Volkswagen,e-Golf,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,119,237,181,130,195,309,410,293,313,381,343,596,472,609,328,198,86,326,269,248,344,454,529,407,305,443,332,293
Kia,Soul EV,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,140,110,69,48,63,73,108,109,59,93,105,109,83,96,81,60,79,139,120,134,179,153,217,190,179,197,117,152
Tesla,Model X,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,15,177,400,500,1500,1500,2000,2000,1500,1900,2600,1000,1400,3300,1000,800
Chevrolet,Bolt,BEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,1162,952
Hyundai,Tucson,FCEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,10,6,1,10,12,6,3,3,1,2,2,0,1,5,1,0,0,2,3,4,4,4,8,8,2,4,0,0,1,2,5
Toyota,Mirai,FCEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,38,23,15,26,30,41,41,40,40,52,371,69,103,105,116,83,110
Honda,Clarity,FCEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,27
